House_Area_sqft,Number_of_Rooms,Number_of_Bathrooms,Number_of_Floors,House_Age,Basement,State,City,Region_Type,Renovation_Type,Quality_Grade,Material_Quality,Wall_Condition,Roof_Condition,Plumbing_Condition,Electrical_Condition,Waterproofing_Required,Season,Cement_Price,Steel_Price,Sand_Price,Paint_Price,Brick_Price,Tile_Price,Wood_Price,Estimated_Labour_Cost,Estimated_Duration_Days,Estimated_Renovation_Cost,Budget_Status
5638,8,4,4,32,0,Tamil Nadu,Chennai,Semi-Urban,Exterior,Standard,Economy,5,6,6,9,No,Winter,393.8,71.55,57.79,326.95,10.25,85.61,1922.47,749812.47,68,973125.38,Over Budget
1707,5,3,2,36,0,Telangana,Karimnagar,Urban,Exterior,Standard,Standard,7,5,8,9,Yes,Monsoon,403.97,66.44,54.94,330.6,10.59,85.5,1779.5,276189.12,56,339582.81,Over Budget
5817,8,5,3,30,0,Delhi,New Delhi,Urban,Full,Standard,Economy,7,5,9,6,Yes,Monsoon,436.96,79.94,63.41,393.66,12.02,97.49,2086.68,1120229.66,128,1551725.49,Over Budget
858,1,1,1,41,1,Maharashtra,Mumbai,Urban,Roofing,Economy,Standard,7,5,6,5,No,Winter,373.73,64.89,54.22,325.24,9.68,80.76,1847.04,169264.34,55,180712.96,Over Budget
1144,2,1,1,20,0,Delhi,New Delhi,Urban,Electrical,Standard,Premium,6,6,10,8,No,Winter,441.23,78.58,62.68,358.84,12.06,102.5,2224.23,192898.59,33,205316.28,Within Budget
4558,8,5,3,20,1,Tamil Nadu,Tiruchirappalli,Rural,Interior,Standard,Standard,6,8,8,7,Yes,Winter,406.2,73.17,54.3,329.14,9.86,89.83,1903.29,427633.87,54,559061.19,Over Budget
4293,8,4,4,68,1,Telangana,Warangal,Semi-Urban,Roofing,Standard,Standard,2,3,3,2,Yes,Monsoon,391.02,67.49,54.53,312.4,10.33,84.35,1910.44,664311.2,106,680416.81,Over Budget
980,3,1,1,36,1,Telangana,Warangal,Semi-Urban,Painting,Standard,Standard,8,6,5,5,No,Winter,381.95,68.74,58.14,311.85,10.36,87.97,1755.33,75815.32,23,142514.61,Within Budget
1295,2,1,1,69,1,Tamil Nadu,Salem,Urban,Kitchen,Premium,Economy,6,2,2,6,No,Monsoon,512.2,91.28,73.28,398.25,12.86,106.3,2294.57,189387.23,63,278476.4,Over Budget
3504,7,4,3,59,1,Delhi,New Delhi,Urban,Kitchen,Luxury,Standard,7,3,5,3,Yes,Monsoon,715.77,133.77,104.16,577.39,18.89,166.12,3251.77,604658.81,73,1025330.34,Over Budget
